DriverNumber,EventName,Year,ActProblemClass
8,Australian Grand Prix,2019,Aerodynamics and Tyres
55,Australian Grand Prix,2019,Engine
27,Bahrain Grand Prix,2019,Engine
27,Chinese Grand Prix,2019,Power Unit
10,Azerbaijan Grand Prix,2019,Transmission and Gearbox
8,Azerbaijan Grand Prix,2019,Braking System
4,Canadian Grand Prix,2019,Suspension and Drive
4,German Grand Prix,2019,Power Unit
3,German Grand Prix,2019,Others
8,Hungarian Grand Prix,2019,Cooling System
4,Belgian Grand Prix,2019,Power Unit
55,Belgian Grand Prix,2019,Power Unit
20,Italian Grand Prix,2019,Suspension and Drive
26,Italian Grand Prix,2019,Others
55,Italian Grand Prix,2019,Aerodynamics and Tyres
11,Singapore Grand Prix,2019,Others
63,Russian Grand Prix,2019,Aerodynamics and Tyres
5,Russian Grand Prix,2019,Power Unit
7,Mexican Grand Prix,2019,Cooling System
10,United States Grand Prix,2019,Suspension and Drive
20,United States Grand Prix,2019,Braking System
88,United States Grand Prix,2019,Others
5,United States Grand Prix,2019,Suspension and Drive
18,Brazilian Grand Prix,2019,Suspension and Drive
77,Brazilian Grand Prix,2019,Power Unit
18,Abu Dhabi Grand Prix,2019,Braking System
26,Austrian Grand Prix,2020,Suspension and Drive
23,Austrian Grand Prix,2020,Others
7,Austrian Grand Prix,2020,Aerodynamics and Tyres
63,Austrian Grand Prix,2020,Others
8,Austrian Grand Prix,2020,Braking System
20,Austrian Grand Prix,2020,Braking System
18,Austrian Grand Prix,2020,Engine
3,Austrian Grand Prix,2020,Cooling System
33,Austrian Grand Prix,2020,Others
31,Styrian Grand Prix,2020,Cooling System
10,Hungarian Grand Prix,2020,Power Unit
27,British Grand Prix,2020,Power Unit
16,Spanish Grand Prix,2020,Others
55,Belgian Grand Prix,2020,Power Unit
33,Italian Grand Prix,2020,Power Unit
20,Italian Grand Prix,2020,Power Unit
5,Italian Grand Prix,2020,Braking System
18,Tuscan Grand Prix,2020,Aerodynamics and Tyres
31,Tuscan Grand Prix,2020,Braking System
4,Eifel Grand Prix,2020,Power Unit
23,Eifel Grand Prix,2020,Cooling System
31,Eifel Grand Prix,2020,Suspension and Drive
77,Eifel Grand Prix,2020,Power Unit
33,Emilia Romagna Grand Prix,2020,Aerodynamics and Tyres
31,Emilia Romagna Grand Prix,2020,Transmission and Gearbox
10,Emilia Romagna Grand Prix,2020,Cooling System
99,Turkish Grand Prix,2020,Transmission and Gearbox
11,Bahrain Grand Prix,2020,Power Unit
6,Sakhir Grand Prix,2020,Others
11,Abu Dhabi Grand Prix,2020,Transmission and Gearbox
14,United States Grand Prix,2021,Aerodynamics and Tyres
31,United States Grand Prix,2021,Others
10,United States Grand Prix,2021,Suspension and Drive
14,Bahrain Grand Prix,2021,Braking System
5,Emilia Romagna Grand Prix,2021,Transmission and Gearbox
22,Spanish Grand Prix,2021,Others
16,Monaco Grand Prix,2021,Transmission and Gearbox
63,Azerbaijan Grand Prix,2021,Transmission and Gearbox
31,Azerbaijan Grand Prix,2021,Power Unit
63,Styrian Grand Prix,2021,Power Unit
63,Dutch Grand Prix,2021,Transmission and Gearbox
22,Dutch Grand Prix,2021,Power Unit
9,Dutch Grand Prix,2021,Suspension and Drive
9,Italian Grand Prix,2021,Power Unit
10,Italian Grand Prix,2021,Suspension and Drive
22,Italian Grand Prix,2021,Braking System
47,Russian Grand Prix,2021,Others
14,United States Grand Prix,2021,Aerodynamics and Tyres
31,United States Grand Prix,2021,Others
10,United States Grand Prix,2021,Suspension and Drive
3,São Paulo Grand Prix,2021,Power Unit
6,Qatar Grand Prix,2021,Aerodynamics and Tyres
77,Qatar Grand Prix,2021,Aerodynamics and Tyres
11,Abu Dhabi Grand Prix,2021,Engine
99,Abu Dhabi Grand Prix,2021,Transmission and Gearbox
63,Abu Dhabi Grand Prix,2021,Transmission and Gearbox
7,Abu Dhabi Grand Prix,2021,Braking System
